Material,Formula,Density-gcm-3,Meltingpoint-C
Alloy825,Ni39.5/Fe32/Cr22/Mo3/Cu2/Ti,8.14,2500
AluchromO®-ResistanceAlloy,Fe70/Cr25/Al5,7.1,1520
Alumina,Al2O3,3.9,2100
Aluminium,Al,2.6989,660.3
Aluminiumalloy2011,Al93/Cu5.3/Fe0.7/Si0.4/Pb0.3/B,2.82,535
Aluminiumalloy6082,Al97.4/Si1/Mg0.9/Mn0.7,2.7,555
Aluminiumalloy7075,Al90/Zn5.5/Mg2.5/Cu1.5/Si0.5,2.8,447
AluminiumalloyENAC42100,Al91.7/Si7/Mg0.3,2.675,555
AluminiumNitride,AlN,3.26,2200
Aluminium/Iron,Al50/Fe50,-,1175
Aluminium/Lithium/Copper,Al95/Li2.5/Cu1.5/Mg1,2.53,600
Aluminium/Magnesium,Al97.5/Mg2.5,2.68,605
Aluminium/Magnesium/Manganese/Chromium,Al96.45/Mg2.6/Mn0.8/Cr0.15,2.69,645
Aluminium/Magnesium/Silicon,Al99/Mg0.5/Si0.5,2.7,655
Aluminium/Nickel,Al50/Ni50,-,1350
Aluminium/Silicon,Al65.7/Si34.3,-,860
Aluminium/Silicon/Magnesium/Manganese,Al97.5/Si1.0/Mg0.8/Mn0.7,2.7,555
Antimony,Sb,6.68,630.6
AntimonialLead,Pb96/Sb4,11.04,250
Arsenic,As,1.4,816.8
Barium,Ba,3.5,725
Beryllium,Be,1.848,1278
Bismuth,Bi,9.8,271.3
Bismuth/Lead,Bi55.5/Pb44.5,10.44,124
Boron,B,2.34,2180
BoronCarbide,B4C,2.52,2450
BoronCarbide-Hot-pressed,B4C,2.45,2450
Caesium,Cs,1.9,28.5
CaesiumIodide,CsI,4.51,621
Calcium,Ca,1.55,839
CalciumFluoride,CaF2,3.18,1360
CalciumTitanate,CaTiO3,4.1,1975
Carbon,C,2.25,3650
Cerium,Ce,6.75,799
ChromaloyO®-ResistanceAlloy,Fe75/Cr20/Al5,7.1,1500
Chromium,Cr,7.1,1857
Chromium/Nickel,Cr50/Ni50,8.05,1335
Chromium/Titanium,Cr70/Ti30,-,1570
Cadmium,Cd,8.65,321.1
Cobalt,Co,8.9,1495
Cobalt(II)Oxide,CoO,6.45,1795
Cobalt/Aluminium,Co79/Al21,-,1550
Cobalt/Chromium,Co70/Cr30,-,1470
Cobalt/Chromium/Iron/Nickel/Molybdenum/Manganese,Co40/Cr20/Fe15/Ni15/Mo7/Mn2/C/Be,8.3,1450
Cobalt/Chromium/Tungsten/Nickel/Iron/Manganese,Co50/Cr20/W15/Ni10/Fe3/Mn2,9.13,1330
Cobalt/Titanium,Co94/Ti6,-,1450
Cobalt/Tungsten,Co50/W50,-,1530
Constantan®-ResistanceAlloy,Cu55/Ni45,8.9,1225
Copper/Beryllium,Cu98/Be2,8.25,860
Copper/Iron,Cu70/Fe30,-,1430
Copper/Lead,Cu80/Pb20,-,1010
Copper/Nickel,Cu70/Ni30,8.94,1171
Copper/Silicon,Cu85/Si15,-,840
Copper/Silver,Cu98/Ag2,-,1075
Copper/Titanium,Cu90/Ti10,-,1000
Copper/Zirconium,Cu70/Zr30,-,1140
Dysprosium,Dy,8.536,1412
Erbium,Er,9.051,1529
Europium,Eu,5.243,822
Evanohm®-PrecisionResistanceAlloy,Ni75/Cr20/Al2.5/Cu2.5,8.1,1340
Fecralloy®-Iron/Chromium,Fe72.8/Cr22/Al5/Y0.1/Zr0.1,7.22,1380
Gadolinium,Gd,7.895,1313
Gallium,Ga,5.904,29.8
GalliumSelenide,GaSe,5.03,1020
Germanium,Ge,5.32,937.4
GildingMetal,Cu85/Zn15,8.75,1000
GlassSealingAlloy,Fe54/Ni29/Co17,8.36,1450
Gold,Au,19.3,1064.4
Gold/Nickel,Au82/Ni18,15.8,955
Gold/Palladium,Au75/Pd25,16,1410
Gold/Tin,Au80/Sn20,-,280
Hafnium,Hf,13.1,2227
HafniumCarbide,HfC,12.2,3890
Hastelloy®B-CorrosionResistantAlloy,Ni62/Mo28/Fe5/Cr/Mn/Si,9.24,1340
Hastelloy®B-2,Ni68/Mo28/Fe2/Cr1/Co1,9.22,1370
Hastelloy®B-3,Ni65/Mo28.5/Cr1.5/Fe1.5/(Co+Mn+W)3.5max,9.22,1418
Hastelloy®C276-HeatResistingAlloy,Ni57/Mo17/Cr16/Fe/W/Mn,8.94,1270
Hastelloy®X,Ni49.5/Cr22/Fe18/Mo9/Co1/W,8.22,1260
Havar®-High-StrengthNon-MagneticAlloy,Co42.5/Cr20/Ni13/Fe/W/Mo/Mn,8.3,1480
Haynes®230alloy,Ni62/Cr22/W14/Mo2,8.97,1300
Holmium,Ho,8.803,1474
Incoloy®alloy800-HeatResistingAlloy,Ni32.5/Cr21/Fe,7.95,1350
Inconel625®-CorrosionResistantAlloy,Ni61/Cr22/Mo9/Fe5,8.44,1290
Inconel®617,Ni57/Cr22/Co12/Mo9,8.36,1332
Inconel®alloy600-HeatResistingAlloy,Ni72/Cr16/Fe8,8.42,1370
Inconel®alloy718-HeatResistingAlloy,Ni53/Fe19/Cr19/Nb/Mo/Ti,8.19,1260
Inconel®X750-HeatResistingAlloy,Ni74/Cr15/Fe7/Ti/Al/Nb,8.25,1390
Indium,In,7.3,156.6
Indium/Silver,In97/Ag3,7.38,143
Indium/Tin,In95/Sn5,7.14,238
Invar®-ControlledExpansionAlloy,Fe64/Ni36,8,1427
Iridium,Ir,22.4,2410
Iron,Fe,7.87,1535
Iron/Nickel,Fe58/Ni42,8.11,1450
Iron/Silicon,Fe91/Si9,-,1380
Iron/Titanium,Fe60/Ti40,-,1380
Lanthanum,La,6.174,921
Lead,Pb,11.35,327.5
Lead/Tin,Pb75/Sn25,9.96,270
LeadedBrass,Cu58/Zn39/Pb3,8.47,875
Lithium,Li,0.534,180.5
Lutetium,Lu,9.842,1663
Magnesium,Mg,1.738,650
MagnesiumalloyAZ31,Mg96/Al3/Zn1,1.8,605
MagnesiumAlloyAZ61,Mg93/Al6/Zn1,1.8,525
MagnesiumFluoride,MgF2,3.15,1396
MagnesiumOxide,MgO,3.58,2852
MagneticShapeMemoryAlloy,Ni50/Mn28/Ga22(Atomic%),8,1130
Manganese,Mn,7.4,1244
Manganese/Nickel,Mn70/Ni30,-,1040
Manganin®-ResistanceAlloy,Cu86/Mn12/Ni2,8.4,960
Molybdenum,Mo,10.22,2617
MolybdenumHighTemperatureAlloyTZM,Mo99/Ti0.5/Zr0.1,10.22,2500
Molybdenum/Titanium,Mo90/Ti10,-,2600
Monel®alloy400,Ni65/Cu33/Fe2,8.84,1300
Monel®alloyK-500,Ni63/Cu30/Al3/Fe2/Mn1.5/Ti0.5,8.4,2400
Neodymium,Nd,7.004,1021
Nickel,Ni,8.9,1453
NickelOxide,NiO,6.67,1984
NickelSilver,Cu62/Ni18/Zn20,8.72,1060
NickelSilver(18),Cu65/Ni18/Zn17,8.73,1070
Nickel/Beryllium/Titanium,Ni97.5/Be1.95/Ti0.5,8.14,1195
Nickel/Boron,Ni85/B15,-,1065
