"Material","Formula","thickness1","price1","thickness2","price2","thickness3","price3","thickness4","price4","thickness5","price5","thickness6","price6","thickness7","price7","thickness8","price8","thickness9","price9","thickness10","price10","thickness11","price11","thickness12","price12","thickness13","price13","thickness14","price14","thickness15","price15","thickness16","price16","thickness17","price17","thickness18","price18","thickness19","price19","thickness20","price20","thickness21","price21","thickness22","price22","thickness23","price23","thickness24","price24","thickness25","price25","thickness26","price26","thickness27","price27","thickness28","price28","thickness29","price29","thickness30","price30","thickness31","price31","thickness32","price32","thickness33","price33","thickness34","price34","thickness35","price35","thickness36","price36","thickness37","price37","thickness38","price38","thickness39","price39","thickness40","price40","thickness41","price41","thickness42","price42","thickness43","price43","thickness44","price44","thickness45","price45","thickness46","price46","thickness47","price47","thickness48","price48"
"Aluminium","Al",0.0004,138,0.0008,84,0.0015,124,0.002,105,0.003,102,0.0045,99,0.006,98,0.008,81,0.009,80.5,0.01,91,0.0125,74.5,0.015,74.5,0.018,73,0.02,72,0.025,69,0.03,69.5,0.04,69.5,0.05,67.5,0.06,69.5,0.075,73,0.08,73,0.09,133,0.1,69,0.116,165,0.125,59.5,0.13,139,0.15,64,0.16,148,0.2,64,0.25,58,0.3,64.5,0.32,92,0.38,64.5,0.5,66.5,0.75,96,0.8,61.5,1,60,1.2,62,1.5,60.5,2,60.5,3,78,4,95,5,104,6,108,,,,,,,,
"AluminiumNitride","AlN",0.075,260,0.125,392,0.64,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antimony","Sb",0.002,285,0.004,243,0.005,237,0.006,223,0.007,216,0.008,208,0.009,207,0.01,202,0.0125,269,0.015,162,0.02,157,0.025,154,0.04,160,0.05,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arsenic","As",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barium","Ba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beryllium","Be",0.005,1063,0.01,,0.015,542,0.025,445,0.125,347,0.25,183,0.5,370,1,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bismuth","Bi",0.001,301,0.002,290,0.0025,279,0.005,240,0.01,205,0.0125,181,0.015,164,0.02,158,0.025,156,0.045,160,0.05,167,0.25,145,0.5,139,1,136,2,140,3,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boron","B",2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caesium","Cs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CaesiumIodide","CsI",2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calcium","Ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CalciumFluoride","CaF2",2,,5,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carbon","C",0.075,101,0.125,79.5,0.15,93.5,0.2,93.5,0.25,90.5,0.35,91.5,0.5,86.5,1,87.5,5,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cerium","Ce",0.025,422,0.005,860,0.1,272,0.25,360,0.5,341,1,271,2,243,3,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chromium","Cr",0.001,296,0.0015,292,0.002,285,0.0025,274,0.003,257,0.004,247,0.005,239,0.006,237,0.007,229,0.008,228,0.009,227,0.01,220,0.0125,229,0.015,239,0.02,255,0.025,266,0.03,275,0.04,284,0.05,286,0.075,307,0.5,254,0.5,392,1,268,1.5,357,2,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cadmium","Cd",0.001,284,0.002,242,0.005,205,0.01,179,0.015,144,0.025,137,0.05,145,0.125,114,0.125,125,0.25,95,0.5,102,0.75,147,1,112,2,120,3,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
